"Date","Day","Week","Platform","Format","Pillar","Topic","Hook","Caption concept","CTA","Visual concept","Production","Reference","Flags"
"2026-10-26","Mon","4","IG + FB","Single image","Patient convenience","Online GP benefits","No waiting room. No time off work. A real GP.","Video or phone, 7 days a week, from wherever you are in Ireland. Pick a time that suits you, see the price before you book, and speak to an Irish-registered GP.","Book an online GP — link in bio","Online GP photo (current website image until the shoot) + slogan strip","Template, 30–60 min","Post #10 (first-30-posts.md)",""
"2026-10-27","Tue","4","TikTok + IG Reels + YT Shorts","Vertical video ~20s","Future clinic","Building our new clinic in Newbridge","""Something new is coming to Newbridge.""","Renovation details only — no location clues. PHASE 2.","Get opening news","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V08 (video/short-form-concepts.md)","PHASE 2 — owner go-ahead"
"2026-10-28","Wed","4","IG + FB + TikTok","Myth vs fact (carousel / video)","Myth vs fact","Online GPs can't prescribe","Myth: ""An online GP can't prescribe anything.""","Fact: Irish-registered GPs can issue prescriptions after an online consultation where they consider it clinically appropriate and safe — and send them to your chosen pharmacy. Some medicines, and some problems, need an in-person assessment first.","Learn how it works","Template ""myth-fact""","Template, 30–60 min","Post #11 (first-30-posts.md)","GP review"
"2026-10-28","Wed","4","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-10-29","Thu","4","TikTok + IG Reels + YT Shorts","Vertical video ~30s","Online GP explained","What to have ready for an online consultation","""Before your online GP call, have these ready.""","Quiet private spot, list of medicines, pharmacy name, charged phone, good light for skin issues.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V09 (video/short-form-concepts.md)",""
"2026-10-29","Thu","4","YouTube","Explainer 3–8 min","Online GP explained","What happens during an online GP consultation? (long version)","""Here's exactly what happens when you see a GP online.""","Description with reviewer, date, chapters, booking link","Book online (description link)","GP to camera, b-roll","Film 1h + edit 2h","V02 long form","GP review"
"2026-10-30","Fri","4","IG + FB","Carousel (6 slides)","GP education","When should a cough be checked?","That cough that just won't go…","Most coughs from colds settle on their own within 3 weeks. Speak to a GP if your cough: • lasts more than 3 weeks • comes with breathlessness, chest pain or coughing up blood • comes with unexplained weight loss, or a fever that won't settle  Severe difficulty breathing is an emergency — call 112 or 999.","Save for cough season","Template ""education""","Template, 30–60 min","Post #12 (first-30-posts.md)","GP review"
"2026-10-31","Sat","4","TikTok + IG Reels + YT Shorts","Vertical video ~45s","GP education","GP, pharmacy or 112?","""Not sure where to go? Quick guide.""","Pharmacy vs GP vs emergency, examples.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V10 (video/short-form-concepts.md)","GP review"
"2026-11-02","Mon","5","IG + FB + TikTok","Teaser image / 10s video","Future clinic","Something new is coming to Newbridge","Something new is coming to Newbridge. 👀","We're preparing something for Newbridge, Co. Kildare. More soon.  Want to be first to know? Sign up at gp4u.ie (link in bio).","Get opening news","Template ""clinic-teaser"": cream, ""Something new is coming to Newbridge."" — NO photos showing the building, street or signs","Template, 30–60 min","Post #13 (first-30-posts.md)","PHASE 2 — owner go-ahead"
"2026-11-03","Tue","5","TikTok + IG Reels + YT Shorts","Vertical video ~20s","Myth vs fact","Myth: antibiotics fix colds","""Will antibiotics help my cold?""","Viruses vs bacteria, resistance.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V11 (video/short-form-concepts.md)","GP review"
"2026-11-04","Wed","5","IG + FB + LinkedIn","Long caption + portrait","Brand content","Brand story — why ""real care"" matters","Every patient deserves a doctor who listens.","[Founder story in their own words: why they became a GP, what frustrated them about access, what GP4U is trying to fix.] Written by the founder — not ghost-written claims.","Follow our story","Founder portrait (real) or warm desk photo","Template, 30–60 min","Post #14 (first-30-posts.md)","Needs: Founder story in own words"
"2026-11-04","Wed","5","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-11-05","Thu","5","TikTok + IG Reels + YT Shorts","Vertical video ~30s","GP education","Sore throat: what actually helps","""Sore throat? Here's what I'd tell you.""","Self-care, when to see a GP, urgent signs.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V12 (video/short-form-concepts.md)","GP review"
"2026-11-06","Fri","5","IG + FB","Single image","Online GP explained","Booking CTA","Need a GP this week?","See an Irish-registered GP online by video or phone. 7 days. Prices shown before you book.","Book now — link in bio","Template ""announcement"" variant with booking screen mock (demo data)","Template, 30–60 min","Post #15 (first-30-posts.md)",""
"2026-11-06","Fri","5","LinkedIn","Text + image","Meet GP4U","Team, hiring or professional update","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-11-09","Mon","6","IG + FB","Carousel (5 slides)","GP education","Sore throat — what helps and when to get checked","Sore throat? Here's what a GP would tell you.","Most sore throats are viral and get better within a week. Rest, fluids and simple pain relief (as directed on the pack) usually help. Speak to a GP if it isn't improving after a week, if you get sore throats often, or if you have a weakened immune system. Difficulty breathing or swallowing, drooling, or a muffled voice needs urgent help — call 112 or 999.","Save this","Template ""education""","Template, 30–60 min","Post #16 (first-30-posts.md)","GP review"
"2026-11-10","Tue","6","TikTok + IG Reels + YT Shorts","Vertical video ~20s","Online GP explained","How prescriptions reach your pharmacy","""Where does my prescription go after an online consult?""","GP decides; sent to chosen pharmacy; pay for medicine at pharmacy.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V13 (video/short-form-concepts.md)",""
"2026-11-11","Wed","6","IG Reel + TikTok","Video 30s","Online GP explained","What happens during an online GP consultation","""Here's exactly what happens when you see me online.""","No mystery: you join the call from your confirmation page, we talk it through, and I explain what happens next. (Script V02.)","Book an online GP","GP to camera + screen b-roll of the confirmation page (demo booking)","Film + edit, 1–2h","Post #17 (first-30-posts.md)",""
"2026-11-11","Wed","6","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-11-12","Thu","6","TikTok + IG Reels + YT Shorts","Vertical video ~20s","Online GP explained","Sick certs: how they work online","""Need a sick cert?""","GP's decision, what details are needed.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V14 (video/short-form-concepts.md)",""
"2026-11-12","Thu","6","YouTube","Explainer 3–8 min","Online GP explained","Can you see a GP online in Ireland? (long version)","""Yes — you can see an Irish GP online.""","Description with reviewer, date, chapters, booking link","Book online (description link)","GP to camera, b-roll","Film 1h + edit 2h","V03 long form","GP review"
"2026-11-13","Fri","6","IG + FB","Single image (quote)","Brand content","Quote from our GP","""The best consultations feel like a conversation.""","A line our GP says a lot — and what we try to build every consultation around. — Dr ___ [real, approved quote only]","Follow for more","Template ""quote""","Template, 30–60 min","Post #18 (first-30-posts.md)","Needs: Real quote approved by the GP"
"2026-11-14","Sat","6","TikTok + IG Reels + YT Shorts","Vertical video ~45s","GP education","Winter bugs checklist","""Winter bug season — what to do.""","Rest, fluids, stay home, when to get help.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V15 (video/short-form-concepts.md)","GP review"
"2026-11-16","Mon","7","IG + FB","Carousel (6 slides)","GP education","Common winter illnesses — what to do","Winter bugs are here. What actually helps?","Colds, flu, sore throats and tummy bugs: rest, fluids, and staying home while you're unwell help most. Know the signs that need a GP — and the ones that need 112/999. (Full list in the slides.)","Share with your family group chat","Template ""education""","Template, 30–60 min","Post #19 (first-30-posts.md)","GP review"
"2026-11-17","Tue","7","TikTok + IG Reels + YT Shorts","Vertical video ~45s","GP education","Headaches: when to worry","""Most headaches aren't serious, but…""","Red flags, emergency line.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V16 (video/short-form-concepts.md)","GP review"
"2026-11-18","Wed","7","IG + FB + TikTok","Myth vs fact","Myth vs fact","Antibiotics and colds","Myth: ""Antibiotics will clear up my cold faster.""","Fact: colds are caused by viruses, and antibiotics don't work on viruses. Taking them when they're not needed can cause side effects and makes antibiotic resistance worse. Your GP will prescribe them when they're needed.","Save + share","Template ""myth-fact""","Template, 30–60 min","Post #20 (first-30-posts.md)","GP review"
"2026-11-18","Wed","7","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-11-19","Thu","7","TikTok + IG Reels + YT Shorts","Vertical video ~60s","GP education","Parents: fever in children","""Parents — let's talk about fever.""","Under-3-months rule, warning signs, glass test, trust your instinct.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V17 (video/short-form-concepts.md)","GP review"
"2026-11-20","Fri","7","IG + FB","Single image","Patient convenience","Evenings and weekends","Feel unwell on a Saturday?","GP4U online consultations run 7 days a week. Pick a time that suits you when you book.","Book online","Photo: weekend kitchen scene (licensed) + slogan strip","Template, 30–60 min","Post #21 (first-30-posts.md)",""
"2026-11-20","Fri","7","LinkedIn","Text + image","Meet GP4U","Team, hiring or professional update","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-11-23","Mon","8","IG + FB","Carousel","Online GP explained","Sick certs online","Need a sick cert? Here's how it works online.","Book a sick certificate consultation, tell us briefly what's been happening, and speak to a GP. If they consider a certificate appropriate, it's issued to you securely. (Certificates aren't automatic — they're a GP's decision.)","See the price at gp4u.ie/fees","Template ""carousel""","Template, 30–60 min","Post #22 (first-30-posts.md)",""
"2026-11-24","Tue","8","TikTok + IG Reels + YT Shorts","Vertical video ~15s","Myth vs fact","Myth: online doctors aren't real doctors","""Are online GPs 'real' doctors?""","Irish-registered; check the Medical Council register.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V18 (video/short-form-concepts.md)","GP review"
"2026-11-25","Wed","8","LinkedIn","Text + image","Behind GP4U","Building a new GP service in Ireland","What we've learned building a GP service from scratch.","[Founder: 3 honest lessons — e.g. privacy first, saying no to things online care shouldn't do, designing for older patients too.]","Follow GP4U","Founder photo or product screenshot (demo data)","Template, 30–60 min","Post #23 (first-30-posts.md)","Needs: Founder input"
"2026-11-25","Wed","8","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-11-26","Thu","8","TikTok + IG Reels + YT Shorts","Vertical video ~30s","Behind GP4U","A day building GP4U","""A day in the life of building a GP service.""","Real day — no patient data.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V19 (video/short-form-concepts.md)",""
"2026-11-26","Thu","8","YouTube","Explainer 3–8 min","GP education","3 reasons people delay seeing their GP (long version)","""Three reasons people put off seeing a GP.""","Description with reviewer, date, chapters, booking link","Book online (description link)","GP to camera, b-roll","Film 1h + edit 2h","V04 long form","GP review"
"2026-11-27","Fri","8","IG + FB","Carousel","GP education","Headaches — when to worry","Most headaches aren't serious. These signs mean get help.","Most headaches are tension-type or linked to a cold, dehydration or lack of sleep. Get urgent help (112/999) for a sudden, severe ""worst ever"" headache, or a headache with a stiff neck and rash, confusion, weakness, or after a head injury. See a GP for headaches that are new, getting worse, or not settling.","Save this","Template ""education""","Template, 30–60 min","Post #24 (first-30-posts.md)","GP review"
"2026-11-28","Sat","8","TikTok + IG Reels + YT Shorts","Vertical video ~30s","Online GP explained","Repeat prescriptions explained","""Running low on a regular medicine?""","Established diagnosis, safety questions, GP review.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V20 (video/short-form-concepts.md)",""
"2026-11-30","Mon","9","IG + FB + TikTok","Teaser","Future clinic","Renovation detail","Paint samples, day one. 🎨","Choosing colours for our new Newbridge clinic. Warm, calm, and nothing like a waiting room you want to leave. More soon.","Get opening news — link in bio","Close-up of paint swatches on a table — **no windows, street, signs, or landmarks**","Template, 30–60 min","Post #25 (first-30-posts.md)","PHASE 2 — owner go-ahead"
"2026-12-01","Tue","9","TikTok + IG Reels + YT Shorts","Vertical video ~30s","GP education","Hay fever that won't settle (seasonal — May)","""Tried everything for hay fever?""","Pharmacy options first; when a GP can help.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V21 (video/short-form-concepts.md)","GP review"
"2026-12-02","Wed","9","IG + FB","Carousel","Online GP explained","Repeat prescriptions online","Running low on a regular medicine?","If you have an established diagnosis, you can request a repeat prescription review online. Answer a few safety questions, and if your GP approves it, your prescription goes to your chosen pharmacy.","gp4u.ie/online-gp/repeat-prescription","Template ""carousel""","Template, 30–60 min","Post #26 (first-30-posts.md)",""
"2026-12-02","Wed","9","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-12-03","Thu","9","TikTok + IG Reels + YT Shorts","Vertical video ~30s","Online GP explained","Skin rashes: send a photo?","""Can a GP look at a rash online?""","Photos can help; some rashes need in-person; urgent rash signs.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V22 (video/short-form-concepts.md)",""
"2026-12-04","Fri","9","IG + FB","Carousel","GP education","For parents: fever in children — when to get help","Parents: when is a fever a worry?","Fever is common in children and often a sign the body is fighting an infection. Get urgent medical help for a baby under 3 months with a temperature of 38°C or more, a child who is floppy, hard to wake, breathing fast or struggling, has a rash that doesn't fade under a glass, or seems to be getting worse. If in doubt, call 112/999.","Save + share with parents you know","Template ""education""; no photos of real children","Template, 30–60 min","Post #27 (first-30-posts.md)","GP review"
"2026-12-04","Fri","9","LinkedIn","Text + image","Meet GP4U","Team, hiring or professional update","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-12-07","Mon","10","IG + FB","Single image","Brand content","Privacy promise","Your health information is yours.","We encrypt clinical records, use secure video, and never share your health information for marketing. Read how we look after your data at gp4u.ie/privacy.","Read our privacy notice","Template ""quote"" with lock icon","Template, 30–60 min","Post #28 (first-30-posts.md)",""
"2026-12-08","Tue","10","TikTok + IG Reels + YT Shorts","Vertical video ~20s","Brand content","Your privacy at GP4U","""Where does your health information go?""","Encryption, no marketing use, GDPR rights.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V23 (video/short-form-concepts.md)",""
"2026-12-09","Wed","10","IG Reel + TikTok","Video 15s","Patient convenience","From couch to consultation","""Can't get a GP appointment this week?""","Book online, pick a time, speak to a real GP. One tap. Real care. (Script V03.)","Book — link in bio","Phone tap b-roll → GP on video (actor-free: real GP or hands only)","Film + edit, 1–2h","Post #29 (first-30-posts.md)",""
"2026-12-09","Wed","10","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-12-10","Thu","10","TikTok + IG Reels + YT Shorts","Vertical video ~30s","Brand content","What ""Real care"" means to us","""Why 'real' care?""","Listening, honesty, follow-up.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V24 (video/short-form-concepts.md)",""
"2026-12-10","Thu","10","YouTube","Explainer 3–8 min","GP education","When should a cough be checked by a GP? (long version)","""That cough that won't go away…""","Description with reviewer, date, chapters, booking link","Book online (description link)","GP to camera, b-roll","Film 1h + edit 2h","V05 long form","GP review"
"2026-12-11","Fri","10","IG + FB + LinkedIn","Carousel","Meet GP4U","Our first month — thank you","One month of GP4U.","[Real numbers only if the owner wants to share them — otherwise: what we've learned, what we've improved, what's next (including our Newbridge clinic, opening soon).]","Follow for what's next","Template ""announcement""","Template, 30–60 min","Post #30 (first-30-posts.md)","Needs: Owner sign-off on any numbers"
"2026-12-12","Sat","10","TikTok + IG Reels + YT Shorts","Vertical video ~20s","Myth vs fact","Myth: you should never ""bother"" your GP","""I don't want to waste the GP's time…""","Reassurance; when to ask.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V25 (video/short-form-concepts.md)","GP review"
"2026-12-14","Mon","11","IG + FB","Carousel","GP education","Tummy bugs — keeping fluids up","Vomiting and diarrhoea bug going round?","Fluids little and often; stay off work/school 48h after last episode; warning signs of dehydration; when to get help.","Save this","Brand template matching the format","Template, 30–60 min","Later series","GP review"
"2026-12-15","Tue","11","TikTok + IG Reels + YT Shorts","Vertical video ~30s","GP education","Urine infection symptoms — when to get help","""Burning when you pee?""","Common symptoms; when online suits; red flags (fever, back pain, pregnancy, men, recurrent).","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V26 (video/short-form-concepts.md)","GP review"
"2026-12-16","Wed","11","IG + FB","Single image","Online GP explained","Video or phone — which to choose?","Video or phone consultation?","Video helps when your GP needs to see something (e.g. a rash); phone suits many conversations. Price for each on gp4u.ie/fees.","See prices","Brand template matching the format","Template, 30–60 min","Later series",""
"2026-12-16","Wed","11","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-12-17","Thu","11","TikTok + IG Reels + YT Shorts","Vertical video ~30s","Online GP explained","Contraception reviews online","""Need your pill reviewed?""","How the review works; safety questions; when in person is better.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V27 (video/short-form-concepts.md)",""
"2026-12-18","Fri","11","IG + FB","Carousel","Myth vs fact","You need to be really sick to see a GP","Myth: ""It's not bad enough to bother a GP.""","If something is worrying you, not getting better, or affecting daily life, it's worth a chat.","Book online","Brand template matching the format","Template, 30–60 min","Later series","GP review"
"2026-12-18","Fri","11","LinkedIn","Text + image","Meet GP4U","Team, hiring or professional update","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-12-21","Mon","12","IG + FB","Single image","Behind GP4U","How we keep consultations private","Where does your consultation happen?","Secure video, encrypted records, private link — explained simply.","Read our privacy notice","Brand template matching the format","Template, 30–60 min","Later series",""
"2026-12-22","Tue","12","TikTok + IG Reels + YT Shorts","Vertical video ~15s","Patient convenience","Travelling in Ireland and need a GP?","""Away from home and feeling unwell?""","Online anywhere in Ireland; pharmacy near you.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V28 (video/short-form-concepts.md)",""
